Language,DevType_Group,Adoption_Rate,Admiration_Rate,Gap_Score,N_respondents
Rust,Frontend,0.05853,0.05769,-0.00084,1972
Rust,Mobile,0.06781,0.06122,-0.00659,1389
Rust,Embedded,0.23681,0.23384,-0.00298,1273
Rust,Data/AI,0.1205,0.11388,-0.00662,2019
Rust,DevOps,0.16069,0.14883,-0.01186,1053
Rust,Architect,0.13875,0.1304,-0.00835,2680
Kotlin,Full-Stack,0.09918,0.06423,-0.03494,12339
Kotlin,Backend,0.11433,0.08587,-0.02847,6446
Kotlin,Frontend,0.05996,0.0415,-0.01846,1972
Kotlin,Mobile,0.56728,0.48542,-0.08185,1389
Kotlin,Embedded,0.06618,0.03989,-0.02629,1273
Kotlin,Data/AI,0.05263,0.02775,-0.02488,2019
Kotlin,DevOps,0.09518,0.0602,-0.03498,1053
Kotlin,Architect,0.11596,0.07618,-0.03977,2680
